sourceid,dstid,dow,mean_travel_time
10,950,2,1683.2665
10,889,2,521.96216
260,145,2,1213.0259
260,932,7,1312.1389
41,808,2,1309.5972
41,157,7,2470.055
425,744,7,1247.748
425,837,3,1768.5824
762,584,5,1202.8723
762,237,1,1065.4309
750,942,3,1806.0204
750,849,4,2646.604
100,494,7,274.39212
100,931,6,1656.5323
791,762,1,1317.4501
791,331,5,1563.0046
839,346,1,913.7656
839,62,7,2294.3442
790,782,3,2241.7065
790,85,1,2191.6396
21,235,4,1099.3668
21,926,5,590.53455
438,370,2,919.7614
438,335,5,2350.7058
671,125,3,840.10364
671,634,5,708.463
662,505,7,2146.063
662,476,3,798.6722
690,904,4,1916.7338
690,794,6,1311.4187
731,737,7,472.9572
731,374,7,2154.9536
634,202,1,745.60706
634,62,7,1146.2499
429,633,6,1801.1174
429,662,4,1684.4531
675,661,2,613.40027
675,662,7,546.77747
42,492,3,2250.6245
42,755,3,2197.0642
635,969,7,2472.0405
635,816,3,1484.9861
783,212,2,1690.8572
783,851,3,1352.8715
643,268,3,1848.773
643,32,5,1293.1442
876,679,7,2152.8572
876,907,1,1082.4755
60,606,4,1492.6053
60,474,6,1879.4786
780,941,3,2470.3613
780,299,1,936.8265
469,978,2,1081.9054
469,686,6,1895.0273
640,761,1,2547.5833
640,485,7,1692.4572
722,322,5,3153.1343
722,680,7,2047.4839
845,732,3,1299.312
845,733,3,1081.1481
226,348,7,1456.1484
226,669,5,2043.111
227,551,2,3314.4114
227,849,3,985.1434
564,207,3,2092.135
564,425,1,1464.6473
288,665,5,2208.822
288,144,7,1842.5647
216,21,6,2796.492
216,307,7,1043.2821
237,233,2,430.8689
237,238,4,251.3392
773,98,1,1088.4788
773,638,2,2244.8997
632,81,7,1182.8975
632,239,2,1339.435
239,210,2,1236.9524
239,271,5,1832.963
673,680,4,1462.0817
673,729,7,1214.2092
245,512,4,1431.3594
245,270,1,2332.083
273,948,7,678.8542
273,754,7,2055.2458
683,160,5,731.17523
683,261,5,2260.4143
285,470,2,1438.8754
285,397,4,2251.5503
70,225,5,2231.003
70,16,5,794.4345
238,755,4,1766.4595
238,473,4,2288.142
633,974,7,1335.0765
633,178,7,655.6022
