,0
0,20720
1,18254
2,13093
3,4187
4,25343
5,23664
6,10372
7,14991
8,6454
9,15011
10,9404
11,23173
12,23543
13,14079
14,7711
15,17165
16,6342
17,12025
18,21330
19,27173
20,38511
21,30530
22,18887
23,27514
24,25540
25,14103
26,21440
27,7019
28,17270
29,25268
30,26678
31,11590
32,12268
33,18000
34,17746
35,32310
36,3626
37,17236
38,5618
39,17737
40,12876
41,18983
42,4184
43,11936
44,9280
45,9584
46,15968
47,13240
48,6862
49,14396
50,9663
51,5164
52,4697
53,12733
54,19670
55,6218
56,13819
57,14971
58,11442
59,10636
60,3251
61,10905
62,11853
63,19067
64,18758
65,17378
66,8693
67,9671
68,16000
69,17834
70,11090
71,3744
72,5834
73,8386
74,5779
75,3744
76,12254
77,15673
78,12092
79,8008
80,15195
81,14870
82,4097
83,6614
84,17499
85,23421
86,9734
87,14607
88,13560
89,7731
90,11488
91,6092
92,17277
93,9690
94,11058
95,13580
96,17105
97,18155
98,6515
99,12013
100,19804
101,18423
102,10839
103,21262
104,6956
105,23787
106,17801
107,12969
108,14126
109,10205
110,7940
111,9238
112,17247
113,24407
114,8694
115,13201
116,8315
117,5880
118,11727
119,9863
120,5265
121,7282
122,7707
123,16992
124,15616
125,8304
126,17670
127,15848
128,7282
129,16652
130,21083
131,26829
132,30245
133,6222
134,26085
135,15175
136,29876
137,29906
138,24279
139,33479
140,1703
141,11633
142,3145
143,4201
144,30629
145,12996
146,15740
147,10291
148,6938
149,10008
150,8552
151,7516
152,13595
153,20948
154,9497
155,19259
156,24327
157,13572
158,15501
159,16742
160,13599
161,15178
162,6051
163,23298
164,13875
165,13705
166,7094
167,15042
168,12198
169,12322
170,10713
171,8719
172,9917
173,16063
174,7930
175,22730
176,13207
177,5562
178,9642
179,8916
180,25264
181,19381
182,19811
183,13997
184,25264
185,24521
186,6588
187,20097
188,24339
189,19811
190,10274
191,4550
192,37798
193,9896
194,18963
195,13753
196,18219
197,9646
198,10764
199,18185
200,15523
201,20782
202,17942
203,6911
204,12505
205,7835
206,13995
207,9021
208,16448
209,16637
210,6437
211,20990
212,27695
213,13115
214,8331
215,11262
216,8423
217,3146
218,14751
219,14483
220,6688
221,11549
222,13298
223,3622
224,18132
225,4527
226,6765
227,5863
228,14335
229,14335
230,12778
231,11513
232,5249
233,13474
234,10389
235,7373
236,9649
237,2317
238,8451
239,10742
240,9158
241,19360
242,10263
243,10353
244,25111
245,15673
246,14392
247,8459
248,12777
249,5808
250,6623
251,9959
252,2863
253,5049
254,4155
255,13211
256,15120
257,9458
258,2863
259,8587
260,8255
261,5182
262,19515
263,15104
264,11548
265,9012
266,6727
267,6118
268,9316
269,3559
270,12017
271,17948
272,19164
273,26880
274,18349
275,9906
276,13225
277,5728
278,9976
279,37109
280,11583
281,25484
282,26536
283,9021
284,8322
285,9621
286,5868
287,9021
288,9952
289,32710
290,12519
291,5709
292,10013
293,15598
294,2239
295,20088
296,12855
297,10276
298,3402
299,14272
300,15075
301,12604
302,19382
303,19382
304,23021
305,23161
306,26949
307,16511
308,14767
309,7271
310,16807
311,15216
312,29040
313,15258
314,24308
315,21513
316,16536
317,25767
318,14924
319,8410
320,10025
321,20148
322,13268
323,4743
324,22817
325,9911
326,8144
327,7402
328,16667
329,1336
330,5643
331,10882
332,7997
333,10646
334,9607
335,8171
336,20453
337,7138
338,11058
339,9240
340,14628
341,15557
342,2836
343,15322
344,10064
345,20036
346,12822
347,13862
348,8037
349,5812
350,14209
351,12724
352,11469
353,8698
354,12275
355,5726
356,10921
357,17721
358,12892
359,11871
360,12272
361,18045
362,11928
363,4454
364,3916
365,12847
366,13070
367,8620
368,19531
369,8262
370,18032
371,20803
372,17719
373,13563
374,4898
375,12293
376,10048
377,14761
378,15150
379,27447
380,8388
381,12257
382,11455
383,5812
384,11961
385,10166
386,12576
387,3057
388,15908
389,4451
390,10583
391,13719
392,20468
393,8737
394,37661
395,19634
396,12339
397,23328
398,40324
399,23565
400,7461
401,13573
402,17378
403,4024
404,8571
405,17315
406,13594
407,17845
408,22344
409,13037
410,17013
411,13110
412,22979
413,23861
414,8630
415,10404
416,11276
417,16524
418,20974
419,17014
420,1536
421,2726
422,9414
423,17051
424,14890
425,9498
426,9809
427,7681
428,3848
429,8225
430,7263
431,17064
432,18275
433,6566
434,15922
435,11718
436,9530
437,3104
438,12926
439,20392
440,16246
441,20926
442,13821
443,8433
444,15593
445,6986
446,9596
447,18924
448,17885
449,9439
450,8412
451,11746
452,9064
453,10239
454,12763
455,3973
456,25170
457,16928
458,9555
459,6115
460,7405
461,11331
462,1930
463,14891
464,16995
465,4347
466,12673
467,5596
468,2301
469,6609
470,20816
471,16151
472,18121
473,10410
474,6636
475,10633
476,32144
477,9498
478,17679
479,19725
480,2161
481,26291
482,7578
483,5498
484,13610
485,19942
486,22557
487,17156
488,6149
489,17009
490,13955
491,9297
492,6490
493,5263
494,3625
495,14334
496,22077
497,24607
498,7891
499,10536
500,17901
501,15464
502,11532
503,7264
504,9093
505,8507
506,7018
507,7685
508,22824
509,15160
510,6171
511,12667
512,20886
513,7459
514,14950
515,24914
516,10534
517,16407
518,8248
519,8345
520,4256
521,15667
522,11097
523,16849
524,11322
525,20442
526,10799
527,15692
528,8703
529,15576
530,16535
531,10736
532,13229
533,22303
534,26784
535,18188
536,29781
537,7952
538,13405
539,18955
540,10975
541,12026
542,5889
543,13622
544,5560
545,12680
546,12687
547,11428
548,15402
549,15037
550,12736
551,17714
552,7499
553,13816
554,12097
555,1869
556,8486
557,7301
558,10043
559,6854
560,10399
561,9671
562,16344
563,3633
564,7869
565,11266
566,9671
567,10762
568,9566
569,7874
570,13010
571,16630
572,12881
573,9158
