,sourceid,dstid,dow,mean_travel_time,src_longitude_rad,src_latitude_rad,dst_longitude_rad,dst_latitude_rad,src_lat_long,dst_lat_long,distances
0,10,241,3,2334.43,0.0008960694214517938,0.8992353002762468,-0.0020629687633649096,0.8980140954609351,"0.0008960694214517938, 0.8992353002762468","-0.0020629687633649096, 0.8980140954609351",8.744765862979461
1,10,612,5,1529.83,0.0008960694214517938,0.8992353002762468,0.0032196237278984785,0.9008166096261048,"0.0008960694214517938, 0.8992353002762468","0.0032196237278984785, 0.9008166096261048",8.472243713982383
2,10,905,4,1390.04,0.0008960694214517938,0.8992353002762468,-0.0009776286442479856,0.8986806165497586,"0.0008960694214517938, 0.8992353002762468","-0.0009776286442479856, 0.8986806165497586",5.108887359656607
3,10,407,7,157.91,0.0008960694214517938,0.8992353002762468,0.001394703875754758,0.8994044536465642,"0.0008960694214517938, 0.8992353002762468","0.001394703875754758, 0.8994044536465642",1.397819896004288
4,10,603,4,1781.67,0.0008960694214517938,0.8992353002762468,-0.0015194660232096364,0.9016203151238527,"0.0008960694214517938, 0.8992353002762468","-0.0015194660232096364, 0.9016203151238527",11.147516213717413
5,10,123,1,1720.39,0.0008960694214517938,0.8992353002762468,-0.0020852429133114596,0.9012775188054113,"0.0008960694214517938, 0.8992353002762468","-0.0020852429133114596, 0.9012775188054113",10.907968935597246
6,10,943,2,761.8,0.0008960694214517938,0.8992353002762468,-0.0003663503441019152,0.8986678132078223,"0.0008960694214517938, 0.8992353002762468","-0.0003663503441019152, 0.8986678132078223",3.834411973659416
7,10,622,2,1351.76,0.0008960694214517938,0.8992353002762468,0.0031838705746180243,0.90022693319006,"0.0008960694214517938, 0.8992353002762468","0.0031838705746180243, 0.90022693319006",6.8601309162103625
8,10,934,2,528.43,0.0008960694214517938,0.8992353002762468,-0.00023368279752597205,0.8990806892347528,"0.0008960694214517938, 0.8992353002762468","-0.00023368279752597205, 0.8990806892347528",2.8475720792462504
9,10,946,4,952.7,0.0008960694214517938,0.8992353002762468,0.00019106552605759592,0.9009222188398595,"0.0008960694214517938, 0.8992353002762468","0.00019106552605759592, 0.9009222188398595",6.894920915249909
10,260,576,3,1327.26,-0.0004363425836722242,0.8978949974569164,-0.0020139230478306586,0.8972727056590969,"-0.0004363425836722242, 0.8978949974569164","-0.0020139230478306586, 0.8972727056590969",4.604553426182826
11,260,830,4,2079.5,-0.0004363425836722242,0.8978949974569164,0.001117944089841786,0.8999167485588422,"-0.0004363425836722242, 0.8978949974569164","0.001117944089841786, 0.8999167485588422",8.8666621646994
12,260,805,6,2076.51,-0.0004363425836722242,0.8978949974569164,0.0011028679067217276,0.8996917785854386,"-0.0004363425836722242, 0.8978949974569164","0.0011028679067217276, 0.8996917785854386",8.055731298568126
13,260,447,7,1309.97,-0.0004363425836722242,0.8978949974569164,0.0017937425584971416,0.8969340638285028,"-0.0004363425836722242, 0.8978949974569164","0.0017937425584971416, 0.8969340638285028",6.6873856404030105
14,260,574,6,1032.38,-0.0004363425836722242,0.8978949974569164,-0.0015148366758018718,0.8973720618938833,"-0.0004363425836722242, 0.8978949974569164","-0.0015148366758018718, 0.8973720618938833",3.3697674082597517
15,260,390,3,1473.21,-0.0004363425836722242,0.8978949974569164,0.0029221534150714176,0.8982417132277085,"-0.0004363425836722242, 0.8978949974569164","0.0029221534150714176, 0.8982417132277085",8.391777242132928
16,260,66,6,877.91,-0.0004363425836722242,0.8978949974569164,0.0007022729748027657,0.8976774790684238,"-0.0004363425836722242, 0.8978949974569164","0.0007022729748027657, 0.8976774790684238",2.9366625811044726
17,260,21,2,2061.57,-0.0004363425836722242,0.8978949974569164,-0.001613140364170742,0.8990955091938707,"-0.0004363425836722242, 0.8978949974569164","-0.001613140364170742, 0.8990955091938707",5.564284996069676
18,260,146,2,2533.88,-0.0004363425836722242,0.8978949974569164,-0.001200266690294824,0.9001334778615527,"-0.0004363425836722242, 0.8978949974569164","-0.001200266690294824, 0.9001334778615527",9.052974781103986
19,260,950,2,2485.59,-0.0004363425836722242,0.8978949974569164,8.971662780230261e-05,0.9007194032898721,"-0.0004363425836722242, 0.8978949974569164","8.971662780230261e-05, 0.9007194032898721",11.248116459994014
20,41,441,3,2498.69,0.0026744923588393355,0.8992454161497699,-0.004710009925843405,0.8994914190809122,"0.0026744923588393355, 0.8992454161497699","-0.004710009925843405, 0.8994914190809122",18.199610399813018
21,41,173,7,1608.4,0.0026744923588393355,0.8992454161497699,-0.0016489499544516833,0.9004225900579,"0.0026744923588393355, 0.8992454161497699","-0.0016489499544516833, 0.9004225900579",11.608940486663325
22,41,328,3,1448.97,0.0026744923588393355,0.8992454161497699,3.5333916307445395e-05,0.8998444653184169,"0.0026744923588393355, 0.8992454161497699","3.5333916307445395e-05, 0.8998444653184169",6.912565203783754
23,41,231,5,2739.5,0.0026744923588393355,0.8992454161497699,-0.002158030413242029,0.8985285559638937,"0.0026744923588393355, 0.8992454161497699","-0.002158030413242029, 0.8985285559638937",12.233495115177407
24,41,364,7,1860.17,0.0026744923588393355,0.8992454161497699,-0.0023211050190676814,0.8988304517574403,"0.0026744923588393355, 0.8992454161497699","-0.0023211050190676814, 0.8988304517574403",12.408565567261618
25,41,804,3,945.06,0.0026744923588393355,0.8992454161497699,0.0008671932016938153,0.8997139591152938,"0.0026744923588393355, 0.8992454161497699","0.0008671932016938153, 0.8997139591152938",4.818034500898904
26,41,608,2,1315.0,0.0026744923588393355,0.8992454161497699,-0.0007143942765860242,0.8997570292503841,"0.0026744923588393355, 0.8992454161497699","-0.0007143942765860242, 0.8997570292503841",8.580912338332038
27,41,40,7,363.19,0.0026744923588393355,0.8992454161497699,0.0018684161209675835,0.8992428363328513,"0.0026744923588393355, 0.8992454161497699","0.0018684161209675835, 0.8992428363328513",1.9841269847881908
28,41,923,1,1103.57,0.0026744923588393355,0.8992454161497699,-0.00024194020516874243,0.8992831116235556,"0.0026744923588393355, 0.8992454161497699","-0.00024194020516874243, 0.8992831116235556",7.179961860630747
29,41,551,1,2700.35,0.0026744923588393355,0.8992454161497699,-0.002066925227593922,0.899330265358539,"0.0026744923588393355, 0.8992454161497699","-0.002066925227593922, 0.899330265358539",11.674848328340058
30,425,826,2,1768.0,-0.004091441102779775,0.8999548122947076,0.0009135201999098057,0.9000638827289779,"-0.004091441102779775, 0.8999548122947076","0.0009135201999098057, 0.9000638827289779",12.315053814990222
31,425,750,5,1591.65,-0.004091441102779775,0.8999548122947076,-0.0018324003006081832,0.899702203385939,"-0.004091441102779775, 0.8999548122947076","-0.0018324003006081832, 0.899702203385939",5.645531335788
32,425,482,1,1087.83,-0.004091441102779775,0.8999548122947076,-0.004761884381213196,0.8987346433535767,"-0.004091441102779775, 0.8999548122947076","-0.004761884381213196, 0.8987346433535767",5.101220327172538
33,425,939,7,2797.29,-0.004091441102779775,0.8999548122947076,-0.000827509777818851,0.89902549578523,"-0.004091441102779775, 0.8999548122947076","-0.000827509777818851, 0.89902549578523",8.8328887926365
34,425,345,4,2209.65,-0.004091441102779775,0.8999548122947076,-0.0031868912286821334,0.8980130741412377,"-0.004091441102779775, 0.8999548122947076","-0.0031868912286821334, 0.8980130741412377",7.997885362353922
35,425,267,7,2212.0,-0.004091441102779775,0.8999548122947076,0.0007514907472741235,0.8993385340316988,"-0.004091441102779775, 0.8999548122947076","0.0007514907472741235, 0.8993385340316988",12.161373279999125
36,425,439,5,426.14,-0.004091441102779775,0.8999548122947076,-0.004361998153868879,0.8996259042560847,"-0.004091441102779775, 0.8999548122947076","-0.004361998153868879, 0.8996259042560847",1.4614744609860644
37,425,339,4,2191.65,-0.004091441102779775,0.8999548122947076,-0.003122449942259466,0.8981595009554485,"-0.004091441102779775, 0.8999548122947076","-0.003122449942259466, 0.8981595009554485",7.492220626538255
38,425,65,5,972.09,-0.004091441102779775,0.8999548122947076,-0.003434627439653355,0.8994228515571869,"-0.004091441102779775, 0.8999548122947076","-0.003434627439653355, 0.8994228515571869",2.653196519313353
39,425,242,6,2541.88,-0.004091441102779775,0.8999548122947076,-0.0021727239216235857,0.8979695549366158,"-0.004091441102779775, 0.8999548122947076","-0.0021727239216235857, 0.8979695549366158",9.165193845248758
40,762,755,3,2292.48,-0.001064552720763866,0.8977099237173799,-0.001821010668892387,0.8992813380756269,"-0.001064552720763866, 0.8977099237173799","-0.001821010668892387, 0.8992813380756269",6.489877963234664
41,762,395,5,1795.96,-0.001064552720763866,0.8977099237173799,0.0031724485574396266,0.8980176286994802,"-0.001064552720763866, 0.8977099237173799","0.0031724485574396266, 0.8980176286994802",10.517861011663749
42,762,80,4,585.49,-0.001064552720763866,0.8977099237173799,-0.0010124001574584878,0.8971891382701661,"-0.001064552720763866, 0.8977099237173799","-0.0010124001574584878, 0.8971891382701661",2.0642406637322233
43,762,516,5,1678.45,-0.001064552720763866,0.8977099237173799,-0.0017344427945199595,0.8962107541252067,"-0.001064552720763866, 0.8977099237173799","-0.0017344427945199595, 0.8962107541252067",6.156934385827439
