iter	Passed	Remaining
0	22	22174
1	32	16348
2	41	13635
3	51	12764
4	56	11318
5	62	10272
6	65	9262
7	68	8459
8	71	7851
9	75	7513
10	79	7132
11	82	6788
12	85	6484
13	88	6220
14	92	6076
15	95	5870
16	98	5693
17	101	5557
18	104	5412
19	109	5349
20	112	5232
21	115	5123
22	118	5026
23	121	4931
24	131	5132
25	139	5219
26	145	5260
27	150	5212
28	153	5148
29	158	5109
30	161	5036
31	164	4968
32	166	4891
33	169	4820
34	175	4834
35	178	4776
36	181	4715
37	184	4662
38	188	4647
39	192	4612
40	195	4566
41	198	4530
42	201	4487
43	207	4498
44	210	4459
45	213	4421
46	216	4382
47	219	4362
48	223	4338
49	226	4303
50	229	4272
51	232	4241
52	236	4231
53	240	4216
54	244	4201
55	247	4177
56	251	4159
57	254	4139
58	257	4112
59	260	4085
60	263	4062
61	267	4048
62	272	4045
63	275	4022
64	278	4002
65	281	3982
66	285	3976
67	289	3961
68	292	3940
69	295	3920
70	297	3897
71	304	3921
72	307	3905
73	311	3898
74	314	3883
75	319	3878
76	322	3863
77	325	3844
78	328	3825
79	331	3808
80	336	3817
81	340	3810
82	344	3803
83	348	3804
84	352	3798
85	356	3784
86	359	3769
87	362	3754
88	366	3748
89	369	3737
90	373	3728
91	376	3712
92	379	3699
93	384	3702
94	387	3695
95	390	3680
96	393	3666
97	397	3659
98	401	3652
99	404	3638
100	407	3627
101	410	3614
102	415	3615
103	418	3606
104	421	3594
105	426	3594
106	431	3602
107	434	3592
108	438	3581
109	441	3571
110	444	3557
111	448	3552
112	451	3541
113	454	3530
114	457	3519
115	460	3509
116	466	3517
117	469	3510
118	472	3499
119	475	3490
120	480	3488
121	483	3479
122	486	3468
123	489	3456
124	492	3447
125	497	3447
126	500	3443
127	504	3437
128	507	3425
129	511	3421
130	514	3413
131	517	3402
132	520	3391
133	523	3382
134	527	3376
135	531	3379
136	535	3370
137	538	3362
138	541	3354
139	545	3351
140	548	3342
141	551	3331
142	554	3323
143	557	3314
144	564	3327
145	572	3349
146	578	3354
147	581	3350
148	585	3342
149	588	3335
150	594	3343
151	597	3335
152	600	3325
153	603	3316
154	606	3308
155	610	3303
156	613	3295
157	616	3285
158	619	3275
159	622	3269
160	626	3266
161	629	3257
162	632	3248
163	635	3239
164	638	3231
165	642	3229
166	645	3220
167	648	3211
168	651	3204
169	654	3196
170	660	3200
171	663	3192
172	666	3184
173	669	3176
174	672	3169
175	676	3165
176	679	3158
177	682	3150
178	685	3143
179	689	3139
180	692	3134
181	695	3126
182	698	3118
183	701	3110
184	705	3109
185	709	3107
186	712	3099
187	715	3091
188	718	3084
189	724	3089
190	728	3085
191	731	3079
192	734	3072
193	739	3070
194	742	3064
195	745	3057
196	748	3051
197	751	3043
198	755	3042
199	758	3035
200	761	3028
201	764	3021
202	768	3017
203	773	3016
204	776	3010
205	779	3006
206	782	2999
207	787	2999
208	791	2994
209	794	2987
210	797	2981
211	800	2974
212	804	2972
213	808	2969
214	812	2964
215	815	2960
216	822	2967
217	825	2962
218	828	2956
219	831	2948
220	836	2947
221	840	2944
222	842	2937
223	846	2930
224	848	2924
225	854	2924
226	856	2918
227	860	2911
228	862	2905
229	866	2899
230	870	2897
231	873	2891
232	876	2884
233	879	2878
234	882	2872
235	886	2870
236	889	2865
237	892	2858
238	896	2853
239	900	2850
240	903	2845
241	906	2839
242	910	2835
243	914	2833
244	919	2834
245	923	2830
246	926	2824
247	929	2817
248	933	2816
249	937	2812
250	940	2806
251	943	2800
252	946	2793
253	951	2795
254	954	2789
255	957	2783
256	960	2777
257	964	2773
258	968	2771
259	971	2765
260	974	2759
261	979	2758
262	984	2757
263	988	2755
264	993	2754
265	997	2751
266	1001	2748
267	1004	2744
268	1009	2742
269	1014	2742
270	1017	2737
271	1020	2731
272	1023	2726
273	1026	2720
274	1031	2718
275	1034	2712
276	1037	2707
277	1040	2702
278	1043	2696
279	1048	2697
280	1051	2691
281	1054	2685
282	1057	2679
283	1061	2675
284	1065	2673
285	1068	2668
286	1071	2663
287	1074	2657
288	1083	2666
289	1087	2663
290	1090	2657
291	1095	2655
292	1098	2650
293	1101	2644
294	1104	2639
295	1107	2634
296	1112	2634
297	1116	2629
298	1118	2623
299	1121	2617
300	1124	2611
301	1128	2608
302	1131	2602
303	1134	2598
304	1137	2593
305	1140	2587
306	1144	2584
307	1147	2578
308	1150	2573
309	1153	2568
310	1157	2563
311	1160	2559
312	1164	2554
313	1167	2549
314	1170	2545
315	1176	2545
316	1180	2542
317	1184	2539
318	1188	2536
319	1193	2536
320	1196	2531
321	1199	2526
322	1203	2521
323	1208	2520
324	1211	2516
325	1215	2513
326	1219	2510
327	1225	2510
328	1228	2506
329	1231	2501
330	1235	2496
331	1239	2493
332	1243	2490
333	1246	2485
334	1249	2480
335	1252	2475
336	1257	2473
337	1261	2469
338	1264	2466
339	1267	2460
340	1271	2456
341	1274	2452
342	1277	2446
343	1280	2442
344	1283	2437
345	1286	2432
346	1290	2427
347	1293	2422
348	1296	2418
349	1299	2413
350	1303	2410
351	1308	2407
352	1311	2404
353	1315	2401
354	1319	2398
355	1324	2395
356	1329	2393
357	1333	2392
358	1345	2402
359	1349	2399
360	1354	2398
361	1358	2393
362	1361	2388
363	1364	2384
364	1368	2380
365	1372	2377
366	1375	2372
367	1378	2367
368	1381	2362
369	1385	2359
370	1402	2377
371	1405	2372
372	1408	2367
373	1411	2363
374	1415	2358
375	1419	2355
376	1422	2351
377	1425	2346
378	1428	2341
379	1432	2337
380	1437	2335
381	1440	2330
382	1443	2325
383	1446	2320
384	1451	2318
385	1454	2313
386	1457	2308
387	1460	2304
388	1463	2298
389	1469	2297
390	1472	2294
391	1476	2290
392	1479	2285
393	1483	2282
394	1486	2277
395	1489	2272
396	1492	2267
397	1496	2263
398	1501	2261
399	1504	2256
400	1507	2251
401	1511	2247
402	1515	2245
403	1519	2241
404	1522	2236
405	1525	2232
406	1528	2226
407	1533	2225
408	1536	2220
409	1539	2215
410	1542	2210
411	1545	2205
412	1549	2201
413	1552	2197
414	1555	2192
415	1558	2188
416	1562	2183
417	1567	2183
418	1571	2179
419	1575	2175
420	1579	2171
421	1582	2167
422	1585	2162
423	1588	2157
424	1591	2152
425	1596	2151
426	1601	2148
427	1604	2144
428	1607	2140
429	1611	2136
430	1614	2131
431	1617	2126
432	1620	2122
433	1623	2117
434	1626	2113
435	1630	2109
436	1633	2105
437	1636	2100
438	1640	2096
439	1644	2092
440	1648	2089
441	1651	2085
442	1654	2080
443	1657	2075
444	1662	2072
445	1665	2068
446	1668	2063
447	1671	2059
448	1674	2054
449	1680	2053
450	1685	2051
451	1688	2046
452	1691	2042
453	1694	2038
454	1697	2033
455	1700	2029
456	1703	2024
457	1706	2019
458	1711	2016
459	1714	2012
460	1717	2007
461	1720	2003
462	1724	2000
463	1728	1996
464	1731	1991
465	1734	1987
466	1737	1983
467	1742	1981
468	1745	1976
469	1749	1972
470	1752	1968
471	1755	1964
472	1760	1961
473	1763	1956
474	1766	1952
475	1769	1948
476	1773	1944
477	1777	1940
478	1780	1936
479	1783	1931
480	1786	1927
481	1789	1923
482	1793	1919
483	1796	1915
484	1799	1911
485	1802	1906
486	1806	1903
487	1809	1898
488	1812	1894
489	1816	1890
490	1819	1886
491	1823	1883
492	1826	1878
493	1829	1874
494	1833	1870
495	1837	1866
496	1841	1863
497	1845	1859
498	1848	1855
499	1851	1851
500	1855	1848
501	1859	1844
502	1863	1841
503	1866	1837
504	1872	1835
505	1875	1831
506	1878	1826
507	1882	1823
508	1886	1819
509	1890	1816
510	1894	1812
511	1897	1808
512	1900	1803
513	1904	1800
514	1907	1796
515	1910	1792
516	1914	1788
517	1917	1783
518	1921	1780
519	1924	1776
520	1927	1772
521	1930	1767
522	1934	1764
523	1938	1760
524	1942	1757
525	1945	1752
526	1948	1748
527	1952	1745
528	1955	1741
529	1959	1737
530	1962	1733
531	1965	1729
532	1971	1727
533	1974	1722
534	1977	1718
535	1980	1714
536	1984	1711
537	1988	1707
538	1991	1703
539	1994	1698
540	1996	1694
541	2002	1691
542	2005	1687
543	2008	1683
544	2011	1679
545	2014	1674
546	2018	1671
547	2021	1667
548	2024	1663
549	2027	1659
550	2030	1654
551	2035	1652
552	2040	1649
553	2044	1646
554	2049	1643
555	2054	1640
556	2057	1636
557	2061	1632
558	2065	1629
559	2069	1625
560	2073	1622
561	2076	1618
562	2079	1613
563	2082	1610
564	2085	1605
565	2088	1601
566	2091	1597
567	2094	1593
568	2103	1593
569	2106	1589
570	2109	1585
571	2113	1581
572	2116	1577
573	2119	1573
574	2122	1568
575	2125	1564
576	2130	1561
577	2133	1557
578	2136	1553
579	2139	1549
580	2143	1545
581	2147	1542
582	2150	1538
583	2154	1534
584	2157	1530
585	2160	1526
586	2164	1522
587	2167	1518
588	2171	1514
589	2173	1510
590	2178	1507
591	2182	1504
592	2185	1500
593	2188	1496
594	2192	1492
595	2197	1489
596	2200	1485
597	2203	1481
598	2207	1477
599	2211	1474
600	2215	1470
601	2218	1466
602	2221	1462
603	2224	1458
604	2230	1456
605	2233	1452
606	2237	1448
607	2240	1444
608	2245	1441
609	2248	1437
610	2252	1433
611	2254	1429
612	2257	1425
613	2262	1422
614	2265	1418
615	2268	1413
616	2270	1409
617	2274	1405
618	2277	1401
619	2281	1398
620	2284	1394
621	2287	1390
622	2292	1387
623	2295	1382
624	2298	1378
625	2301	1375
626	2304	1370
627	2308	1367
628	2312	1363
629	2315	1359
630	2318	1355
631	2321	1351
632	2327	1349
633	2331	1345
634	2335	1342
635	2339	1338
636	2342	1335
637	2345	1331
638	2349	1327
639	2352	1323
640	2356	1319
641	2360	1316
642	2363	1312
643	2366	1308
644	2370	1304
645	2375	1301
646	2378	1297
647	2381	1293
648	2384	1289
649	2388	1286
650	2392	1282
651	2395	1278
652	2398	1274
653	2401	1270
654	2405	1267
655	2408	1263
656	2411	1259
657	2415	1255
658	2418	1251
659	2422	1248
660	2425	1243
661	2428	1239
662	2431	1235
663	2434	1231
664	2438	1228
665	2442	1225
666	2447	1221
667	2450	1217
668	2455	1215
669	2459	1211
