,0
0,20720
1,20758
2,15007
3,4237
4,25342
5,23663
6,10372
7,14990
8,7472
9,15010
10,9404
11,23171
12,23542
13,15452
14,7711
15,17164
16,6340
17,12023
18,21894
19,27265
20,45372
21,30533
22,24031
23,27515
24,25543
25,14896
26,21442
27,7744
28,17271
29,25269
30,26679
31,13037
32,12269
33,40900
34,17747
35,32313
36,3626
37,17397
38,6058
39,17734
40,13201
41,18982
42,4263
43,11934
44,9280
45,9349
46,15966
47,13239
48,7516
49,14395
50,10425
51,5165
52,4698
53,12752
54,19669
55,6218
56,13829
57,14972
58,11442
59,11667
60,3251
61,10905
62,12373
63,19068
64,18961
65,17380
66,8693
67,9672
68,16001
69,17986
70,10968
71,3390
72,6118
73,8033
74,5658
75,3390
76,12429
77,15550
78,11969
79,7655
80,15197
81,14869
82,4197
83,6614
84,17498
85,26909
86,9734
87,14607
88,15957
89,11323
90,11488
91,6093
92,18776
93,9689
94,11059
95,15128
96,17107
97,19756
98,7007
99,12075
100,24937
101,18423
102,10840
103,21333
104,6956
105,23949
106,17803
107,14325
108,14548
109,10207
110,8250
111,11378
112,17283
113,24565
114,8691
115,18359
116,8315
117,5878
118,11725
119,12827
120,5266
121,7282
122,7707
123,21393
124,15616
125,8782
126,21975
127,15848
128,7282
129,16651
130,22921
131,26828
132,30242
133,6222
134,26083
135,16832
136,31959
137,29906
138,25249
139,41989
140,1703
141,12559
142,3424
143,4216
144,31825
145,13193
146,15937
147,10359
148,7572
149,10009
150,8550
151,7515
152,14983
153,22345
154,9496
155,19258
156,24326
157,13977
158,17323
159,16740
160,13602
161,15497
162,6052
163,28024
164,14145
165,13707
166,7670
167,17762
168,12198
169,12323
170,10713
171,8720
172,12258
173,16932
174,7932
175,22730
176,13208
177,6064
178,10049
179,8917
180,25264
181,19381
182,19810
183,13997
184,25264
185,24521
186,6587
187,20099
188,24339
189,19810
190,10276
191,4726
192,60109
193,9896
194,18963
195,13753
196,18308
197,9645
198,10764
199,19965
200,15522
201,23870
202,17941
203,6912
204,12505
205,7835
206,14176
207,9022
208,16448
209,17464
210,6436
211,20991
212,27695
213,13280
214,8331
215,11763
216,9197
217,3741
218,14751
219,14648
220,6688
221,11551
222,13299
223,3622
224,18134
225,4528
226,6766
227,5863
228,16478
229,16478
230,12777
231,11514
232,5250
233,14546
234,10388
235,7373
236,9649
237,2318
238,8452
239,10743
240,9158
241,25958
242,10264
243,10795
244,25111
245,15566
246,14392
247,10093
248,13824
249,5806
250,6768
251,9959
252,3127
253,5049
254,4154
255,13210
256,15119
257,9456
258,3127
259,8586
260,8255
261,5505
262,19202
263,15297
264,11548
265,9012
266,6728
267,6118
268,9319
269,3559
270,12508
271,17950
272,20986
273,26880
274,18348
275,9906
276,13227
277,6281
278,9978
279,37109
280,11582
281,27952
282,27499
283,9021
284,8319
285,9620
286,5867
287,9021
288,9952
289,34887
290,12522
291,5915
292,10014
293,18184
294,2725
295,20088
296,12856
297,10277
298,3402
299,16904
300,15440
301,14990
302,19383
303,19383
304,22860
305,23579
306,32226
307,16510
308,16684
309,7864
310,16975
311,15216
312,29040
313,15259
314,24307
315,21512
316,16536
317,25766
318,14921
319,8410
320,11998
321,20147
322,13268
323,4934
324,22815
325,12957
326,8249
327,7402
328,23087
329,1337
330,5643
331,10788
332,7997
333,10994
334,9609
335,8477
336,23087
337,7139
338,13256
339,9241
340,16697
341,16334
342,2837
343,15323
344,10548
345,20035
346,14613
347,13862
348,8037
349,8341
350,14643
351,12723
352,11470
353,8744
354,12446
355,5996
356,10922
357,17722
358,12892
359,11870
360,12272
361,19906
362,12357
363,4454
364,3916
365,12847
366,13069
367,8620
368,19528
369,8262
370,19541
371,20803
372,17719
373,16805
374,5124
375,13757
376,10288
377,14761
378,15150
379,40890
380,8386
381,12255
382,11457
383,6152
384,11960
385,10163
386,12575
387,3057
388,15910
389,4451
390,10582
391,13735
392,22617
393,8972
394,62079
395,25710
396,12339
397,23328
398,40323
399,23565
400,7460
401,13571
402,19812
403,4025
404,8570
405,17315
406,14830
407,21199
408,23798
409,13566
410,17015
411,13110
412,27487
413,25071
414,8630
415,10404
416,12920
417,16524
418,24142
419,24276
420,1474
421,2725
422,9414
423,18507
424,14891
425,11608
426,10144
427,7680
428,4129
429,11327
430,7264
431,17063
432,18735
433,6566
434,15921
435,11719
436,9532
437,3104
438,13233
439,21125
440,16826
441,20925
442,14570
443,8631
444,16006
445,6985
446,9595
447,18925
448,17885
449,10043
450,8412
451,12397
452,9188
453,14501
454,12817
455,3973
456,25171
457,16928
458,10202
459,6117
460,7463
461,13574
