sourceid,dstid,dow,mean_travel_time
10,241,3,2334.43
10,612,5,1529.83
10,905,4,1390.04
10,407,7,157.91
10,603,4,1781.67
10,123,1,1720.39
10,943,2,761.8
10,622,2,1351.76
10,934,2,528.43
10,946,4,952.7
260,576,3,1327.26
260,830,4,2079.5
260,805,6,2076.51
260,447,7,1309.97
260,574,6,1032.38
260,390,3,1473.21
260,66,6,877.91
260,21,2,2061.57
260,146,2,2533.88
260,950,2,2485.59
41,441,3,2498.69
41,173,7,1608.4
41,328,3,1448.97
41,231,5,2739.5
41,364,7,1860.17
41,804,3,945.06
41,608,2,1315
41,40,7,363.19
41,923,1,1103.57
41,551,1,2700.35
425,826,2,1768
425,750,5,1591.65
425,482,1,1087.83
425,939,7,2797.29
425,345,4,2209.65
425,267,7,2212
425,439,5,426.14
425,339,4,2191.65
425,65,5,972.09
425,242,6,2541.88
762,755,3,2292.48
762,395,5,1795.96
762,80,4,585.49
762,516,5,1678.45
762,793,2,1368.31
762,791,4,1325.38
762,974,5,2836.54
762,309,3,1599.24
762,448,5,820.94
762,338,1,1697.07
750,927,3,1589.55
750,21,2,1032.14
750,148,4,677.43
750,125,4,1761.68
750,40,7,1959.83
750,178,4,973.51
750,878,5,2555.83
750,826,4,1824.45
750,331,2,2151.95
750,323,1,1678.56
100,627,3,571.36
100,446,5,1117.68
100,920,4,1297.93
100,273,4,1470.83
100,577,7,2287.88
100,960,6,1602.54
100,289,7,1151.48
100,902,5,1192.67
100,963,5,1738.43
100,582,7,2169.48
791,690,1,1975.38
791,110,6,520.76
791,783,2,1253.59
791,304,5,1160.77
791,243,5,1068.92
791,110,4,517.36
791,213,5,2173.71
791,978,2,3050.84
791,285,6,2186.7
791,514,6,1091.33
839,594,1,1505.93
839,299,6,2194.46
839,797,3,658.65
839,972,6,1113.73
839,702,4,2232.96
839,132,7,2149.9
839,435,3,1360.71
839,863,7,1504.24
839,795,5,2515.12
839,106,6,1620.87
790,5,2,1868.7
790,969,2,573.94
790,977,5,2249.9
790,312,5,1363.14
790,215,5,1675.26
790,836,4,1575.11
790,20,7,2333.25
790,552,7,1822.69
790,17,6,971.75
790,311,6,1768.96
21,401,6,2057.59
21,73,6,2313.62
21,801,6,1667.07
21,309,7,3018.5
21,636,2,1345.15
21,626,1,2173.4
21,842,5,2452.24
21,97,7,1649.68
21,481,6,1897.08
21,343,3,1806.28
438,678,4,1421.4
438,524,1,1535.32
438,819,7,2600.22
438,953,2,1889.72
438,492,7,1509.2
438,203,5,2855
438,544,7,779.08
438,85,6,1002.73
438,202,1,2436.94
438,171,3,1449.9
671,965,6,763.04
671,135,6,808.79
671,175,2,1219.68
671,4,7,1667.31
671,268,7,1759.81
671,128,6,1011.93
671,891,1,2102.76
671,941,7,1975.35
671,135,7,768.78
671,12,7,1893.38
662,214,1,2449.89
662,924,2,3588.43
662,133,6,2197.14
662,718,2,614.88
662,162,7,1838.87
662,438,7,1361.88
